2024-06-26 22:39:36.016 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [1234-52] to the _wordBank
2024-06-26 22:39:36.019 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [water] to the _wordBank
2024-06-26 22:39:36.020 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [melon] to the _wordBank
2024-06-26 22:39:36.020 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [la] to the _wordBank
2024-06-26 22:39:36.020 [main] INFO  org.stratpoint.service.Impl.LibraryServiceImpl - Successfully Added new Book to the cacheServiceImpl and list
2024-06-26 22:39:36.020 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [5234-52] to the _wordBank
2024-06-26 22:39:36.020 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [papaya] to the _wordBank
2024-06-26 22:39:36.021 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [le] to the _wordBank
2024-06-26 22:39:36.021 [main] INFO  org.stratpoint.service.Impl.LibraryServiceImpl - Successfully Added new Book to the cacheServiceImpl and list
2024-06-26 22:39:36.021 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [4234-52] to the _wordBank
2024-06-26 22:39:36.021 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [banana] to the _wordBank
2024-06-26 22:39:36.021 [main] INFO  org.stratpoint.service.Impl.LibraryServiceImpl - Successfully Added new Book to the cacheServiceImpl and list
2024-06-26 22:39:36.021 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [3234-52] to the _wordBank
2024-06-26 22:39:36.021 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [fruit] to the _wordBank
2024-06-26 22:39:36.021 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [lo] to the _wordBank
2024-06-26 22:39:36.021 [main] INFO  org.stratpoint.service.Impl.LibraryServiceImpl - Successfully Added new Book to the cacheServiceImpl and list
2024-06-26 22:39:36.021 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [2234-52] to the _wordBank
2024-06-26 22:39:36.022 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [salad] to the _wordBank
2024-06-26 22:39:36.022 [main] INFO  org.stratpoint.service.Impl.CacheServiceImpl - Added new word [lu] to the _wordBank
2024-06-26 22:39:36.022 [main] INFO  org.stratpoint.service.Impl.LibraryServiceImpl - Successfully Added new Book to the cacheServiceImpl and list
2024-06-26 22:39:36.028 [main] INFO  org.stratpoint.service.Impl.LibraryServiceImpl - No Result found on Query: 123-45
2024-06-26 22:39:36.029 [main] INFO  org.stratpoint.service.Impl.LibraryServiceImpl - No Result found on Query: 123-458
2024-06-26 22:39:36.029 [main] INFO  org.stratpoint.service.Impl.LibraryServiceImpl - No Result found on Query: none
2024-06-26 22:39:36.029 [main] INFO  org.stratpoint.service.Impl.LibraryServiceImpl - No Result found on Query: watermelon
